valve_serial_number,valve_size_in,valve_size_dn,valve_rating,valve_manufacturer,valve_item_code,valve_type,valve_seat_type,valve_end_connection,valve_operator,valve_bore_type,valve_seat_material,valve_body_material,valve_obturator_material,valve_stem_material
16117023001,"2""",100,2500,PERAR,A25RS07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,F316,625,718
16117023004,"2""",100,2500,PERAR,A25RS07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,F316,625,718
16117023005,"2""",100,2500,PERAR,A25RS07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,F316,625,718
16117023006,"2""",100,2500,PERAR,A25RS07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,F316,625,718
16117024001,"2""",100,2500,PERAR,A25RC07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,LF2,625,718
16117024002,"2""",100,2500,PERAR,A25RC07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,LF2,625,718
16117024004,"2""",100,2500,PERAR,A25RC07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,LF2,625,718
16119005001,"20""",100,900,PERAR,A09CC08-K21,BALL - TRUNNION,METAL,COMPACT,GEARBOX - MANUAL,RB,625,LF2,F60,718
16119005002,"20""",100,900,PERAR,A09CC08-K21,BALL - TRUNNION,METAL,COMPACT,GEARBOX - MANUAL,RB,625,LF2,F60,718
16117094002,"6""",100,900,PERAR,A09AC07,BALL - TRUNNION,SOFT,RF,GEARBOX - MANUAL,RB,625/PEEK,LF2,625,718
16117094003,"6""",100,900,PERAR,A09AC07,BALL - TRUNNION,SOFT,RF,GEARBOX - MANUAL,RB,625/PEEK,LF2,625,718
1611794006,"6""",100,900,PERAR,A09AC07,BALL - TRUNNION,SOFT,RF,GEARBOX - MANUAL,RB,625/PEEK,LF2,625,718
16117094009,"6""",100,900,PERAR,A09AC07,BALL - TRUNNION,SOFT,RF,GEARBOX - MANUAL,RB,625/PEEK,LF2,625,718
16119005003,"20""",100,900,PERAR,A09CC08-K21,BALL - TRUNNION,METAL,COMPACT,GEARBOX - MANUAL,RB,625,LF2,F60,718
16119005004,"20""",100,900,PERAR,A09CC08-K21,BALL - TRUNNION,METAL,COMPACT,GEARBOX - MANUAL,RB,625,LF2,F60,718
16117010045,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010081,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117007002,"1""",100,150,PERAR,B01AM09,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,N08825,N06625,718
16117007004,"1""",100,150,PERAR,B01AM09,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,N08825,N06625,718
16117010042,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010071,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117007001,"1""",100,150,PERAR,B01AM09,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,N08825,N06625,718
16117010058,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010029,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010016,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010038,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010070,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010074,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117009022,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009036,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009029,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009017,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009012,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009005,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009015,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009013,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009039,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009003,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009021,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009014,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009040,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009019,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009025,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009020,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009038,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009016,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009031,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117177003,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117009032,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009033,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009004,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117010021,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117009011,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009042,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117009018,"1""",100,150,PERAR,B01AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117010005,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010050,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010069,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010061,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010020,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010056,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010049,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010023,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010007,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010009,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010057,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010015,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010044,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010073,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117177001,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010091,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010089,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010010,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010040,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010086,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010079,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010004,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010087,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010033,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010037,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010006,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010051,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010055,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010017,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010008,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010025,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010090,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010031,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010052,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117177004,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010048,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010085,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010062,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010088,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010028,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010072,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010027,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010054,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010001,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010036,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010002,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010082,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010030,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117177002,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010076,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010064,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010035,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010078,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010024,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010066,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010019,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010080,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010068,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010083,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010067,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010013,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010041,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010075,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010032,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010014,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010012,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010063,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010047,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010022,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010034,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010018,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010011,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010003,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010065,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010053,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010026,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010043,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010084,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117010060,"1""",100,150,PERAR,B01AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117011003,"1""",100,300,PERAR,B03AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117011001,"1""",100,300,PERAR,B03AS01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,F316,316,316
16117012013,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012019,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012022,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012005,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012001,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012020,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012015,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012026,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012006,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012025,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012004,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117035007,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035013,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117012008,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012002,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012016,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012014,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012021,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012007,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012027,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012017,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012011,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012018,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012009,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012010,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012023,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117012012,"1""",100,300,PERAR,B03AC01,BALL - FLOATING,SOFT,RF,LEVER,FB,RPTFE,LF2,316,316
16117035017,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035010,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035002,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035001,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035006,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035008,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035003,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035012,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035005,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035014,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117035015,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117034002,"4""",100,150,PERAR,A01AS01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,F316,316,316
16117035009,"4""",100,150,PERAR,A01AC01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,LF2,316,316
16117034009,"4""",100,150,PERAR,A01AS01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,F316,316,316
16117034008,"4""",100,150,PERAR,A01AS01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,F316,316,316
16117034007,"4""",100,150,PERAR,A01AS01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,F316,316,316
16117034001,"4""",100,150,PERAR,A01AS01,BALL - FLOATING,SOFT,RF,LEVER,RB,RPTFE,F316,316,316
